noise_type,sigma,bits,acc_mean,acc_std,energy_pj
additive,0.0,3,0.7634095238095238,0.0023152443837348097,23116.8
additive,0.0,4,0.7660380952380952,0.0003230165118089586,25036.8
additive,0.0,5,0.7660571428571429,0.0013729056085518576,28876.8
additive,0.0,6,0.7665333333333333,0.0008085863402107835,36556.8
additive,0.0,8,0.7666857142857142,0.0014401501211919606,82636.8
additive,0.0125,3,0.7630857142857143,0.0025898627690598055,23116.8
additive,0.0125,4,0.7662,0.0008859843859575128,25036.8
additive,0.0125,5,0.7663923809523809,0.0012382579152947321,28876.8
additive,0.0125,6,0.7663733333333334,0.0010819986545442014,36556.8
additive,0.0125,8,0.7663676190476191,0.0015371676400904285,82636.8
additive,0.025,3,0.7631066666666667,0.002395702619102378,23116.8
additive,0.025,4,0.7659828571428572,0.0008128662764514235,25036.8
additive,0.025,5,0.766464761904762,0.0010424605044577766,28876.8
additive,0.025,6,0.7665219047619048,0.001055022059418518,36556.8
additive,0.025,8,0.7665295238095238,0.0015897584489078785,82636.8
additive,0.037500000000000006,3,0.7631561904761904,0.0024544461468674126,23116.8
additive,0.037500000000000006,4,0.7659428571428571,0.000883598298749967,25036.8
additive,0.037500000000000006,5,0.7663847619047619,0.0011500202448012707,28876.8
additive,0.037500000000000006,6,0.7664971428571429,0.0013020332716157008,36556.8
additive,0.037500000000000006,8,0.7666742857142858,0.001569548360163136,82636.8
additive,0.05,3,0.7632057142857143,0.0023393870733504148,23116.8
additive,0.05,4,0.7659447619047619,0.0009378110477819441,25036.8
additive,0.05,5,0.7663638095238096,0.0011640868900519913,28876.8
additive,0.05,6,0.7664799999999999,0.0014397278654421557,36556.8
additive,0.05,8,0.7666095238095239,0.0016710025701628735,82636.8
additive,0.0625,3,0.7632895238095239,0.00244451714788918,23116.8
additive,0.0625,4,0.7657333333333334,0.0008603988513700599,25036.8
additive,0.0625,5,0.7663180952380952,0.0011594541979151809,28876.8
additive,0.0625,6,0.7667104761904763,0.0016077002135168772,36556.8
additive,0.0625,8,0.7665428571428572,0.0017988815040820539,82636.8
additive,0.07500000000000001,3,0.7635123809523809,0.002281608792426875,23116.8
additive,0.07500000000000001,4,0.7656,0.0010418410597625763,25036.8
additive,0.07500000000000001,5,0.7663390476190476,0.0011461954527702753,28876.8
additive,0.07500000000000001,6,0.7664952380952381,0.0016157795665831987,36556.8
additive,0.07500000000000001,8,0.7666857142857143,0.0016454488017937049,82636.8
additive,0.08750000000000001,3,0.7634914285714286,0.0022162524239071513,23116.8
additive,0.08750000000000001,4,0.7655504761904762,0.0009283079075360777,25036.8
additive,0.08750000000000001,5,0.7663219047619048,0.0010353888283169154,28876.8
additive,0.08750000000000001,6,0.766567619047619,0.0016226360310990114,36556.8
additive,0.08750000000000001,8,0.7664895238095238,0.0018397860129116036,82636.8
additive,0.1,3,0.7633333333333333,0.002496097822535593,23116.8
additive,0.1,4,0.7654057142857142,0.0009610690739766221,25036.8
additive,0.1,5,0.7662628571428571,0.001364729120939315,28876.8
additive,0.1,6,0.7664514285714286,0.0016442405826386918,36556.8
additive,0.1,8,0.7663752380952381,0.0017713766611388798,82636.8
additive,0.1125,3,0.7632152380952382,0.002380589266235509,23116.8
additive,0.1125,4,0.7653542857142858,0.0010125906880264636,25036.8
additive,0.1125,5,0.7662838095238095,0.0012648650718601342,28876.8
additive,0.1125,6,0.7664933333333334,0.0015155387200630377,36556.8
additive,0.1125,8,0.7663371428571428,0.0017845911739071334,82636.8
additive,0.125,3,0.7629942857142856,0.0025440070461399166,23116.8
additive,0.125,4,0.7652800000000001,0.001025896905954335,25036.8
additive,0.125,5,0.7660152380952382,0.0012460715656430579,28876.8
additive,0.125,6,0.7662380952380953,0.0015043232716896605,36556.8
additive,0.125,8,0.7660209523809524,0.0016670999202298227,82636.8
additive,0.1375,3,0.76308,0.002702342404042185,23116.8
additive,0.1375,4,0.7652095238095238,0.0009570166326102797,25036.8
additive,0.1375,5,0.7658533333333334,0.0013267503453948785,28876.8
additive,0.1375,6,0.766055238095238,0.0016709452938364641,36556.8
additive,0.1375,8,0.7661085714285714,0.0017315615549899546,82636.8
additive,0.15000000000000002,3,0.7629180952380953,0.002587424068880358,23116.8
additive,0.15000000000000002,4,0.7650742857142857,0.0010268622909975981,25036.8
additive,0.15000000000000002,5,0.7655847619047619,0.001317232364660829,28876.8
additive,0.15000000000000002,6,0.7659257142857143,0.0015806108796888902,36556.8
additive,0.15000000000000002,8,0.7661523809523809,0.0018567007178627575,82636.8
additive,0.1625,3,0.7627657142857144,0.002625639830202392,23116.8
additive,0.1625,4,0.7647866666666666,0.0008969644117764234,25036.8
additive,0.1625,5,0.765472380952381,0.0014413757860798253,28876.8
additive,0.1625,6,0.7657866666666667,0.0016657789801179785,36556.8
additive,0.1625,8,0.766055238095238,0.0017873735476729667,82636.8
additive,0.17500000000000002,3,0.7627771428571428,0.0026708360555731045,23116.8
additive,0.17500000000000002,4,0.7647161904761905,0.0011193376279348623,25036.8
additive,0.17500000000000002,5,0.7655961904761904,0.0012387306693239335,28876.8
additive,0.17500000000000002,6,0.7657828571428572,0.0016843628213672628,36556.8
additive,0.17500000000000002,8,0.7656895238095238,0.0019409253411505122,82636.8
additive,0.1875,3,0.7627333333333334,0.0026114276372283898,23116.8
additive,0.1875,4,0.764544761904762,0.0012144783001920385,25036.8
additive,0.1875,5,0.7651980952380952,0.0013075848311090927,28876.8
additive,0.1875,6,0.7654742857142857,0.0015777766985048984,36556.8
additive,0.1875,8,0.7652971428571429,0.0020477701093703036,82636.8
additive,0.2,3,0.7625009523809524,0.002629157498739523,23116.8
additive,0.2,4,0.7642780952380953,0.0011091312723102206,25036.8
additive,0.2,5,0.7652171428571428,0.001429174257045657,28876.8
additive,0.2,6,0.7651371428571428,0.0015693295430334662,36556.8
additive,0.2,8,0.7654209523809523,0.0019387806165593704,82636.8
