noise_type,sigma,bits,acc_mean,acc_std,energy_pj
additive,0.0,3,0.9115238095238095,0.0004279689251469688,70976.0
additive,0.0,4,0.9120190476190476,0.0001666549374244366,71296.0
additive,0.0,5,0.9122476190476191,0.000336671067852025,71936.0
additive,0.0,6,0.9125142857142857,0.0004999648122734344,73216.0
additive,0.0,8,0.9126095238095238,0.00027397902942022243,80896.0
additive,0.0125,3,0.9114304761904762,0.0005651842734545568,70976.0
additive,0.0125,4,0.9122704761904762,0.00034772677548865774,71296.0
additive,0.0125,5,0.9123314285714286,0.0003673976038249552,71936.0
additive,0.0125,6,0.9124571428571429,0.00029597344727511066,73216.0
additive,0.0125,8,0.9125047619047619,0.00026931595087942127,80896.0
additive,0.025,3,0.9113009523809523,0.00059963551365608,70976.0
additive,0.025,4,0.9121828571428572,0.00022975065271034777,71296.0
additive,0.025,5,0.9122380952380952,0.00034906799269388293,71936.0
additive,0.025,6,0.9124114285714285,0.0003740792120144911,73216.0
additive,0.025,8,0.9124495238095238,0.0003161105404724875,80896.0
additive,0.037500000000000006,3,0.9110647619047618,0.0006767032446037791,70976.0
additive,0.037500000000000006,4,0.9121028571428571,0.0004308706796425676,71296.0
additive,0.037500000000000006,5,0.912295238095238,0.00040989405495688025,71936.0
additive,0.037500000000000006,6,0.9123161904761905,0.0003384722336727017,73216.0
additive,0.037500000000000006,8,0.9123314285714286,0.00036432000224997577,80896.0
additive,0.05,3,0.9110514285714285,0.000587095571789818,70976.0
additive,0.05,4,0.9120171428571429,0.0005192209830844251,71296.0
additive,0.05,5,0.9121238095238096,0.0003715674869693966,71936.0
additive,0.05,6,0.912167619047619,0.00034480018657270036,73216.0
additive,0.05,8,0.9122457142857142,0.0003477969268442488,80896.0
additive,0.0625,3,0.9109161904761904,0.0005589742960674314,70976.0
additive,0.0625,4,0.9118209523809523,0.0004871282423205904,71296.0
additive,0.0625,5,0.9119847619047619,0.00045067676583911647,71936.0
additive,0.0625,6,0.9120895238095238,0.0004053639876305462,73216.0
additive,0.0625,8,0.9121161904761905,0.00038741157913049486,80896.0
additive,0.07500000000000001,3,0.9107161904761905,0.0007274233524953252,70976.0
additive,0.07500000000000001,4,0.9117200000000001,0.00041379451090543985,71296.0
additive,0.07500000000000001,5,0.9119561904761905,0.0004919468760236788,71936.0
additive,0.07500000000000001,6,0.9119447619047619,0.0005585712815860828,73216.0
additive,0.07500000000000001,8,0.9119733333333334,0.00044128488316692724,80896.0
additive,0.08750000000000001,3,0.9108857142857143,0.0007263416085432407,70976.0
additive,0.08750000000000001,4,0.9116038095238095,0.00045589320164548337,71296.0
additive,0.08750000000000001,5,0.9117695238095238,0.0005818717321228808,71936.0
additive,0.08750000000000001,6,0.9117923809523809,0.0005002987613163585,73216.0
additive,0.08750000000000001,8,0.9118552380952382,0.0004908126127936199,80896.0
additive,0.1,3,0.9109352380952381,0.0006795259900798667,70976.0
additive,0.1,4,0.9114571428571429,0.0005347330915886645,71296.0
additive,0.1,5,0.9115961904761904,0.0005968594011438247,71936.0
additive,0.1,6,0.9117409523809524,0.0006135662338659016,73216.0
additive,0.1,8,0.9117142857142857,0.0005548329024246357,80896.0
additive,0.1125,3,0.9105790476190477,0.0008064110927899764,70976.0
additive,0.1125,4,0.9113219047619048,0.0005474235390275021,71296.0
additive,0.1125,5,0.9114361904761904,0.000584044638540274,71936.0
additive,0.1125,6,0.9115314285714287,0.0005633717734338922,73216.0
additive,0.1125,8,0.9115466666666666,0.0005811843731790156,80896.0
additive,0.125,3,0.9101828571428572,0.0008003377190047012,70976.0
additive,0.125,4,0.9112361904761904,0.0005977171365082554,71296.0
additive,0.125,5,0.9113561904761905,0.0006110285203539168,71936.0
additive,0.125,6,0.9113600000000001,0.0005910712611432583,73216.0
additive,0.125,8,0.9114019047619047,0.0005692042092742349,80896.0
additive,0.1375,3,0.9099352380952381,0.0008440688737680527,70976.0
additive,0.1375,4,0.9109695238095238,0.0007161525686086372,71296.0
additive,0.1375,5,0.9111809523809524,0.0006263882073074318,71936.0
additive,0.1375,6,0.9111485714285714,0.0006269302353980833,73216.0
additive,0.1375,8,0.911192380952381,0.0006224933783575275,80896.0
additive,0.15000000000000002,3,0.9096114285714286,0.0008429564941027669,70976.0
additive,0.15000000000000002,4,0.9106819047619048,0.0007530088211807288,71296.0
additive,0.15000000000000002,5,0.9107428571428571,0.0006086405751785617,71936.0
additive,0.15000000000000002,6,0.9109104761904763,0.0006985551927086036,73216.0
additive,0.15000000000000002,8,0.9109409523809524,0.0006321854605145872,80896.0
additive,0.1625,3,0.9093485714285714,0.0009936717429430224,70976.0
additive,0.1625,4,0.9104285714285715,0.0007375711895649782,71296.0
additive,0.1625,5,0.9104952380952381,0.0007945391853186344,71936.0
additive,0.1625,6,0.9107142857142858,0.0007188621864225857,73216.0
additive,0.1625,8,0.9106895238095238,0.0007129142827661146,80896.0
additive,0.17500000000000002,3,0.909112380952381,0.0009385611439204784,70976.0
additive,0.17500000000000002,4,0.9101447619047619,0.000790190859932463,71296.0
additive,0.17500000000000002,5,0.9103619047619047,0.0008609221553320845,71936.0
additive,0.17500000000000002,6,0.9104019047619047,0.0007728661421339588,73216.0
additive,0.17500000000000002,8,0.9104,0.0008205660496276609,80896.0
additive,0.1875,3,0.9087828571428571,0.0010142572673454804,70976.0
additive,0.1875,4,0.9097980952380952,0.0009235653867984908,71296.0
additive,0.1875,5,0.91,0.0008896939039842765,71936.0
additive,0.1875,6,0.9100895238095238,0.0008804941780921689,73216.0
additive,0.1875,8,0.9101371428571429,0.0008431167672279172,80896.0
additive,0.2,3,0.9085980952380953,0.0009712237782778834,70976.0
additive,0.2,4,0.909432380952381,0.0010345674529408518,71296.0
additive,0.2,5,0.9097847619047619,0.0008567727717742224,71936.0
additive,0.2,6,0.9096971428571429,0.000891482883276661,73216.0
additive,0.2,8,0.9098114285714286,0.0008979012200599816,80896.0
