noise_type,sigma,bits,acc_mean,acc_std,energy_pj
multiplicative,0.0,3,0.7634095238095238,0.0023152443837348097,70976.0
multiplicative,0.0,4,0.7660380952380952,0.0003230165118089586,71296.0
multiplicative,0.0,5,0.7660571428571429,0.0013729056085518576,71936.0
multiplicative,0.0,6,0.7665333333333333,0.0008085863402107835,73216.0
multiplicative,0.0,8,0.7666857142857142,0.0014401501211919606,80896.0
multiplicative,0.0125,3,0.7634133333333334,0.0023926198201064423,70976.0
multiplicative,0.0125,4,0.7659504761904762,0.0003502433723742686,71296.0
multiplicative,0.0125,5,0.7660533333333334,0.0012651721494229139,71936.0
multiplicative,0.0125,6,0.7664609523809525,0.0007588180495202633,73216.0
multiplicative,0.0125,8,0.7667047619047619,0.0014436901138173064,80896.0
multiplicative,0.025,3,0.7632495238095238,0.0022465979701753722,70976.0
multiplicative,0.025,4,0.7661314285714286,0.0004947920183771336,71296.0
multiplicative,0.025,5,0.76612,0.0012267118473256152,71936.0
multiplicative,0.025,6,0.7664095238095238,0.000750184901752144,73216.0
multiplicative,0.025,8,0.7667219047619047,0.001459911083124971,80896.0
multiplicative,0.037500000000000006,3,0.7631066666666667,0.0020848967063937345,70976.0
multiplicative,0.037500000000000006,4,0.7659942857142856,0.0004868083881320736,71296.0
multiplicative,0.037500000000000006,5,0.7662647619047619,0.0011491926201297558,71936.0
multiplicative,0.037500000000000006,6,0.7664342857142857,0.0007957098194813871,73216.0
multiplicative,0.037500000000000006,8,0.7667314285714286,0.0014415098816574921,80896.0
multiplicative,0.05,3,0.76312,0.002282046318024124,70976.0
multiplicative,0.05,4,0.7659980952380951,0.000579544985601161,71296.0
multiplicative,0.05,5,0.7663333333333333,0.0010824512369025643,71936.0
multiplicative,0.05,6,0.7664742857142858,0.0008318975198077667,73216.0
multiplicative,0.05,8,0.7667085714285714,0.0014662307159228273,80896.0
multiplicative,0.0625,3,0.7629466666666667,0.002354276308428968,70976.0
multiplicative,0.0625,4,0.7659847619047618,0.0006069609502438022,71296.0
multiplicative,0.0625,5,0.7662971428571429,0.0010980784188452835,71936.0
multiplicative,0.0625,6,0.7664723809523809,0.0008491493722221107,73216.0
multiplicative,0.0625,8,0.7666933333333332,0.0014661641601788806,80896.0
multiplicative,0.07500000000000001,3,0.76308,0.00240264222371386,70976.0
multiplicative,0.07500000000000001,4,0.7659790476190477,0.0005438639009562146,71296.0
multiplicative,0.07500000000000001,5,0.7664076190476191,0.001065641073921285,71936.0
multiplicative,0.07500000000000001,6,0.7664190476190476,0.0008330043920337228,73216.0
multiplicative,0.07500000000000001,8,0.7666990476190476,0.0014802995937203943,80896.0
multiplicative,0.08750000000000001,3,0.7628838095238095,0.002197291318670289,70976.0
multiplicative,0.08750000000000001,4,0.7660057142857143,0.0005828127095977544,71296.0
multiplicative,0.08750000000000001,5,0.7664247619047619,0.001140952435778333,71936.0
multiplicative,0.08750000000000001,6,0.7663676190476191,0.0008674822485560836,73216.0
multiplicative,0.08750000000000001,8,0.7666685714285714,0.0014746957844178844,80896.0
multiplicative,0.1,3,0.7629161904761904,0.002402507877281388,70976.0
multiplicative,0.1,4,0.7660838095238095,0.0005857771603082637,71296.0
multiplicative,0.1,5,0.7664000000000001,0.0011694444328363748,71936.0
multiplicative,0.1,6,0.7663714285714286,0.0008525657760744669,73216.0
multiplicative,0.1,8,0.7666514285714285,0.0014773237876443193,80896.0
multiplicative,0.1125,3,0.7630723809523811,0.0024276466895841683,70976.0
multiplicative,0.1125,4,0.7660780952380952,0.0005988463379112532,71296.0
multiplicative,0.1125,5,0.7663923809523809,0.0011882353952164572,71936.0
multiplicative,0.1125,6,0.7664019047619047,0.0008349148492725976,73216.0
multiplicative,0.1125,8,0.7666076190476191,0.0014734991091539312,80896.0
multiplicative,0.125,3,0.7629028571428571,0.002501958135322767,70976.0
multiplicative,0.125,4,0.7659980952380951,0.000676536833979967,71296.0
multiplicative,0.125,5,0.7663866666666667,0.0012675505885318698,71936.0
multiplicative,0.125,6,0.7663866666666667,0.0008013617310389221,73216.0
multiplicative,0.125,8,0.7666000000000001,0.0014669332067532139,80896.0
multiplicative,0.1375,3,0.7629638095238095,0.002556199383792699,70976.0
multiplicative,0.1375,4,0.7659161904761904,0.0006452307938922744,71296.0
multiplicative,0.1375,5,0.7663771428571429,0.0012809742949273816,71936.0
multiplicative,0.1375,6,0.76636,0.0007507950278347039,73216.0
multiplicative,0.1375,8,0.7665790476190477,0.001465472825698847,80896.0
multiplicative,0.15000000000000002,3,0.7629085714285715,0.0025571954201054035,70976.0
multiplicative,0.15000000000000002,4,0.7659314285714286,0.0005883982719126679,71296.0
multiplicative,0.15000000000000002,5,0.7663238095238095,0.0012393122728707679,71936.0
multiplicative,0.15000000000000002,6,0.7663295238095239,0.0007961460064104441,73216.0
multiplicative,0.15000000000000002,8,0.766592380952381,0.0014445594666004573,80896.0
multiplicative,0.1625,3,0.7627733333333333,0.002520490924705881,70976.0
multiplicative,0.1625,4,0.7659695238095238,0.0006845200328302845,71296.0
multiplicative,0.1625,5,0.7663047619047618,0.001297197397636594,71936.0
multiplicative,0.1625,6,0.7663180952380952,0.0007739143796583753,73216.0
multiplicative,0.1625,8,0.7665809523809524,0.0014564053640950534,80896.0
multiplicative,0.17500000000000002,3,0.7628533333333334,0.0025634658687302926,70976.0
multiplicative,0.17500000000000002,4,0.7659561904761905,0.0006506093428523713,71296.0
multiplicative,0.17500000000000002,5,0.7663371428571428,0.0013762926877230579,71936.0
multiplicative,0.17500000000000002,6,0.7663428571428572,0.0007787465342925804,73216.0
multiplicative,0.17500000000000002,8,0.7665657142857143,0.0014710416058194837,80896.0
multiplicative,0.1875,3,0.7629066666666666,0.0025094325455528705,70976.0
multiplicative,0.1875,4,0.7660190476190477,0.0005887681211984747,71296.0
multiplicative,0.1875,5,0.7663314285714286,0.0012385003758006937,71936.0
multiplicative,0.1875,6,0.7664076190476191,0.0008569107512779061,73216.0
multiplicative,0.1875,8,0.7666000000000001,0.0014497931129555022,80896.0
multiplicative,0.2,3,0.7626971428571429,0.002490772273118803,70976.0
multiplicative,0.2,4,0.7660285714285714,0.000533890162053212,71296.0
multiplicative,0.2,5,0.7663180952380952,0.0012299507283936694,71936.0
multiplicative,0.2,6,0.7664361904761905,0.0008854419836729937,73216.0
multiplicative,0.2,8,0.7666171428571429,0.0014722695956037755,80896.0
