noise_type,sigma,bits,acc_mean,acc_std,energy_pj
multiplicative,0.0,3,0.9115238095238095,0.0004279689251469688,70976.0
multiplicative,0.0,4,0.9120190476190476,0.0001666549374244366,71296.0
multiplicative,0.0,5,0.9122476190476191,0.000336671067852025,71936.0
multiplicative,0.0,6,0.9125142857142857,0.0004999648122734344,73216.0
multiplicative,0.0,8,0.9126095238095238,0.00027397902942022243,80896.0
multiplicative,0.0125,3,0.9115028571428572,0.0005358689431928613,70976.0
multiplicative,0.0125,4,0.9121466666666667,0.00022140658824080302,71296.0
multiplicative,0.0125,5,0.9123885714285714,0.0003181225714144335,71936.0
multiplicative,0.0125,6,0.9124990476190475,0.0003301191505053457,73216.0
multiplicative,0.0125,8,0.9125447619047619,0.000267069833630894,80896.0
multiplicative,0.025,3,0.9114609523809524,0.0005606236264863441,70976.0
multiplicative,0.025,4,0.9121333333333334,0.00028839465231994066,71296.0
multiplicative,0.025,5,0.9123885714285714,0.000449041515785968,71936.0
multiplicative,0.025,6,0.9124800000000001,0.00029885071906741106,73216.0
multiplicative,0.025,8,0.9125314285714285,0.00029026911243793245,80896.0
multiplicative,0.037500000000000006,3,0.9113409523809524,0.0006838617559443324,70976.0
multiplicative,0.037500000000000006,4,0.9120247619047619,0.00039523789740235403,71296.0
multiplicative,0.037500000000000006,5,0.9123733333333333,0.00040621029371632806,71936.0
multiplicative,0.037500000000000006,6,0.9125619047619048,0.00030647098775947224,73216.0
multiplicative,0.037500000000000006,8,0.912487619047619,0.0002869856769845671,80896.0
multiplicative,0.05,3,0.9112952380952382,0.0006893717456541903,70976.0
multiplicative,0.05,4,0.9120019047619048,0.00043297789424897904,71296.0
multiplicative,0.05,5,0.9123504761904762,0.00042833710068978874,71936.0
multiplicative,0.05,6,0.9124780952380952,0.0002980521643231955,73216.0
multiplicative,0.05,8,0.912472380952381,0.0002738145926567295,80896.0
multiplicative,0.0625,3,0.9113828571428572,0.0006973398736388482,70976.0
multiplicative,0.0625,4,0.9119695238095239,0.0004493757235695014,71296.0
multiplicative,0.0625,5,0.9123199999999999,0.0004086606399555489,71936.0
multiplicative,0.0625,6,0.9124247619047618,0.0003637890622604312,73216.0
multiplicative,0.0625,8,0.9123904761904762,0.0003027747200170269,80896.0
multiplicative,0.07500000000000001,3,0.9113695238095239,0.0006182736098418071,70976.0
multiplicative,0.07500000000000001,4,0.9119371428571429,0.0005325386996010837,71296.0
multiplicative,0.07500000000000001,5,0.91236,0.00041046136997541964,71936.0
multiplicative,0.07500000000000001,6,0.912392380952381,0.0003528058504299101,73216.0
multiplicative,0.07500000000000001,8,0.9123904761904762,0.0003545091726034711,80896.0
multiplicative,0.08750000000000001,3,0.9112857142857143,0.0008247747224038949,70976.0
multiplicative,0.08750000000000001,4,0.9118266666666667,0.0005382450348770644,71296.0
multiplicative,0.08750000000000001,5,0.9122438095238096,0.0004390337630360742,71936.0
multiplicative,0.08750000000000001,6,0.9123333333333333,0.0004223411399219334,73216.0
multiplicative,0.08750000000000001,8,0.9123257142857143,0.0003614498913083399,80896.0
multiplicative,0.1,3,0.9112190476190476,0.0006628933799052597,70976.0
multiplicative,0.1,4,0.9117904761904762,0.00045202388466308917,71296.0
multiplicative,0.1,5,0.9121714285714285,0.0004491919400599096,71936.0
multiplicative,0.1,6,0.9122704761904762,0.00046469944935548436,73216.0
multiplicative,0.1,8,0.9122095238095238,0.00040051573601682816,80896.0
multiplicative,0.1125,3,0.9111561904761906,0.0006617628700496765,70976.0
multiplicative,0.1125,4,0.9118171428571428,0.0004886667725941489,71296.0
multiplicative,0.1125,5,0.9121657142857144,0.00039967615321091093,71936.0
multiplicative,0.1125,6,0.9121942857142857,0.0004629191711766939,73216.0
multiplicative,0.1125,8,0.9121142857142857,0.00040210564711607436,80896.0
multiplicative,0.125,3,0.9110114285714286,0.0007579594072601784,70976.0
multiplicative,0.125,4,0.9117542857142857,0.0005017969118537369,71296.0
multiplicative,0.125,5,0.9120761904761905,0.0003968442250596017,71936.0
multiplicative,0.125,6,0.9120628571428572,0.0003959968580829201,73216.0
multiplicative,0.125,8,0.9120514285714286,0.00045003088485774434,80896.0
multiplicative,0.1375,3,0.9109485714285714,0.000654563367421728,70976.0
multiplicative,0.1375,4,0.9117161904761905,0.0005072276115029238,71296.0
multiplicative,0.1375,5,0.9119752380952381,0.00040619643406215644,71936.0
multiplicative,0.1375,6,0.9119809523809524,0.00039112845517740534,73216.0
multiplicative,0.1375,8,0.9120266666666667,0.0004859711481537914,80896.0
multiplicative,0.15000000000000002,3,0.9108114285714285,0.0007463200830957965,70976.0
multiplicative,0.15000000000000002,4,0.9117009523809524,0.000582683898397337,71296.0
multiplicative,0.15000000000000002,5,0.9118304761904762,0.0004545451645233851,71936.0
multiplicative,0.15000000000000002,6,0.9119657142857143,0.0003891852584264862,73216.0
multiplicative,0.15000000000000002,8,0.9119257142857143,0.0004294965384794196,80896.0
multiplicative,0.1625,3,0.9108704761904762,0.000806822887302704,70976.0
multiplicative,0.1625,4,0.9115466666666666,0.0005429210920764071,71296.0
multiplicative,0.1625,5,0.9117314285714285,0.0003126783797716597,71936.0
multiplicative,0.1625,6,0.9118609523809523,0.000409234250555051,73216.0
multiplicative,0.1625,8,0.9118285714285714,0.0004920193493274303,80896.0
multiplicative,0.17500000000000002,3,0.9107942857142857,0.0008300275976182213,70976.0
multiplicative,0.17500000000000002,4,0.911584761904762,0.0006078877879586238,71296.0
multiplicative,0.17500000000000002,5,0.9117257142857143,0.000492568274023258,71936.0
multiplicative,0.17500000000000002,6,0.9117580952380953,0.00046269615477587204,73216.0
multiplicative,0.17500000000000002,8,0.9117714285714286,0.0004561565715124414,80896.0
multiplicative,0.1875,3,0.9106457142857143,0.000690973265389842,70976.0
multiplicative,0.1875,4,0.9114057142857143,0.0006562812942841775,71296.0
multiplicative,0.1875,5,0.9116342857142857,0.00045209030504174375,71936.0
multiplicative,0.1875,6,0.9117200000000001,0.00045992992765557663,73216.0
multiplicative,0.1875,8,0.9117428571428571,0.000484117921438424,80896.0
multiplicative,0.2,3,0.91056,0.0007440536026032022,70976.0
multiplicative,0.2,4,0.9113390476190476,0.000601135839426576,71296.0
multiplicative,0.2,5,0.9115714285714286,0.0005364149769026547,71936.0
multiplicative,0.2,6,0.9115866666666667,0.0004887320528365863,73216.0
multiplicative,0.2,8,0.9116495238095238,0.0004587983161582915,80896.0
